name,vendor_code,hex_color,oklch_l,oklch_c,oklch_h,color_family
Pewter,6711,CCC0B1,0.814,0.025,73.561,Warm neutral
Steampunk,6730,B3A098,0.720,0.025,44.256,Warm neutral
Rope Beige,5011,BAAD9B,0.754,0.029,76.132,Warm neutral
Tiramisù,6731,977974,0.603,0.038,29.209,Warm neutral
Antique Blush,2375,CD7F73,0.676,0.099,29.354,Red-orange
Cinnabar,6728,B43F36,0.531,0.154,27.847,Red-orange
Light Chestnut,2330,F79549,0.759,0.148,55.701,Orange
Cinnamon Toast,2390,DA4219,0.596,0.195,34.947,Red-orange
Copper,2350,A73E10,0.505,0.148,40.283,Red-orange
Pumpkin Spice,2395,BF2519,0.522,0.191,29.603,Red-orange
Terracotta,2385,861A10,0.405,0.145,29.909,Red-orange
Rust,2355,67130B,0.337,0.119,29.915,Red-orange
Raisin,2345,541D27,0.318,0.082,11.981,Red
Dove,2600,EFF2F4,0.959,0.004,236.498,Gray
Iceberg,2846,C8DFE9,0.890,0.028,225.728,Cool neutral
Artic Sky,2612,83A1B4,0.693,0.044,236.051,Cool neutral
Aluminium,2615,D3D0D3,0.861,0.005,325.622,Gray
Xanadu,6727,DCD0CB,0.866,0.015,44.161,Gray
Stainless Steel,2620,8F8B8D,0.641,0.006,345.369,Gray
Earl Grey,6732,BDBBA9,0.789,0.025,101.771,Cool neutral
Grey Smoke,5004,666A6F,0.523,0.009,253.908,Gray
Artic Ice,2625,94989A,0.677,0.006,228.857,Gray
Mist,2606,B3B5B7,0.772,0.004,247.871,Gray
Grey,2605,9E9C9D,0.695,0.003,345.246,Gray
Swallow,6734,BCADB9,0.764,0.024,332.462,Gray
Light Blue Grey,2610,969EA4,0.695,0.013,239.992,Gray
Dark Grey,1246,5A6771,0.506,0.023,241.082,Gray
Jedi,6736,4B4D62,0.427,0.035,280.550,Cool neutral
Black,2692,201B17,0.227,0.011,60.885,Gray
Dark Pewter,2630,40424B,0.381,0.016,275.696,Gray
Very Dark Grey,4241,1F232B,0.256,0.016,264.232,Gray
