vendor_code,name,hex_color,oklch_l,oklch_c,oklch_h,color_family
K001-489,Gumdrop,d55fa3,0.652,0.166,347.022,Red-violet
K001-1214,Magenta,995494,0.550,0.125,329.774,Red-violet
K001-473,Geranium,9a3783,0.503,0.159,337.991,Red-violet
K001-80,Mulberry,65286a,0.392,0.125,324.570,Red-violet
K001-1485,Dk. Violet,78286c,0.422,0.139,334.178,Red-violet
K001-1016,Berry,71154b,0.375,0.136,349.971,Red-violet
K001-1133,Eggplant,582141,0.340,0.091,347.006,Red-violet
K001-143,Petal,fabbd7,0.857,0.081,350.505,Red-violet
K001-485,Ballerina,d992be,0.744,0.102,342.111,Red-violet
K001-1393,Woodrose,ec8f9a,0.750,0.113,12.494,Red
K001-1036,Blush Pink,e87690,0.703,0.143,6.982,Red
K001-1099,Deep Rose,b33f52,0.535,0.150,14.071,Red
K001-956,Foxglove,d89ea4,0.756,0.070,11.930,Red
K001-1310,Rose,c8857e,0.683,0.084,26.011,Red
K001-1294,Plum,9a506b,0.529,0.103,358.008,Red-violet
K001-1039,Bordeaux,701040,0.365,0.135,356.484,Red-violet
K001-1151,Garnet,6f2b33,0.389,0.097,15.619,Red
K001-1054,Burgundy,622733,0.361,0.086,9.824,Red
K001-1469,Raisin,4a2838,0.327,0.056,350.949,Red-violet
K001-1332,Sienna,c25d47,0.597,0.135,33.635,Red-orange
K001-482,Terracotta,c45226,0.580,0.157,39.986,Red-orange
K001-159,Spice,b6542a,0.562,0.139,42.117,Red-orange
K001-150,Paprika,b13a23,0.518,0.159,32.958,Red-orange
K001-1075,Cinnamon,984125,0.486,0.124,38.084,Red-orange
K001-1082,Cocoa,72291c,0.386,0.106,32.203,Red-orange
K001-1042,Brick,6a2926,0.374,0.094,25.285,Red-orange
K001-1215,Mahogany,5e3531,0.379,0.060,26.183,Red-orange
K001-1045,Brown,663425,0.386,0.076,37.484,Red-orange
K001-1073,Chocolate,4e3e2e,0.376,0.034,66.466,Warm neutral
K001-1083,Coffee,473628,0.348,0.034,60.832,Warm neutral
K001-1136,Espresso,2f2822,0.283,0.015,62.748,Warm neutral
K001-1386,Wheat,c8a379,0.739,0.071,69.904,Orange
K001-492,Latte,bba481,0.730,0.055,78.112,Yellow-orange
K001-1473,Biscuit,a98a5b,0.651,0.074,77.288,Yellow-orange
K001-1371,Taupe,a38367,0.633,0.056,62.714,Warm neutral
K001-178,Leather,94712f,0.570,0.094,80.635,Yellow-orange
K001-857,Roasted Pecan,8d550b,0.502,0.108,65.456,Orange
K001-138,Earth,7d5a32,0.495,0.072,68.492,Orange
K001-275,Sable,6c5335,0.461,0.055,70.822,Yellow-orange
K001-1237,Mocha,654631,0.423,0.054,54.829,Orange
K001-406,Cappuccino,644d30,0.437,0.053,72.141,Yellow-orange
K001-407,Chestnut,5b3e0f,0.388,0.073,74.801,Yellow-orange
K001-1851,Otter,534633,0.402,0.035,76.919,Warm neutral
K001-1242,Natural,f6f3e9,0.964,0.014,93.046,Warm neutral
K001-1268,Oyster,f4f1df,0.956,0.024,99.166,Warm neutral
K001-184,Eggshell,fae8c4,0.936,0.051,84.553,Yellow-orange
K001-1090,Cream,fbe4bd,0.928,0.057,80.877,Yellow-orange
K001-1303,Putty,eee7cb,0.926,0.038,95.491,Warm neutral
K001-1323,Sand,f0dfca,0.912,0.034,73.162,Warm neutral
K001-1369,Tan,dcc9a7,0.843,0.050,82.121,Yellow-orange
K001-1069,Champagne,ede1bc,0.910,0.050,92.196,Yellow
K001-1187,Khaki,ddccab,0.851,0.048,83.917,Warm neutral
K001-1306,Raffia,cfb18a,0.777,0.063,73.941,Yellow-orange
K001-499,Scone,e2ca8a,0.845,0.086,89.797,Yellow-orange
K001-1162,Honey,ceb56e,0.779,0.095,90.687,Yellow
K001-1176,Ice Peach,facfb6,0.885,0.059,51.805,Orange
K001-1205,Lt. Parfait,fbe1c5,0.924,0.047,69.251,Orange
K001-1271,Shell,fbe6e2,0.941,0.024,30.335,Red
K001-843,Lingerie,ebd9cb,0.896,0.027,60.280,Orange
K001-1181,Ivory,ebe5d2,0.922,0.026,92.436,Warm neutral
K001-413,Parchment,c8bca5,0.799,0.034,83.698,Warm neutral
K001-1362,Stone,b9a78a,0.736,0.045,79.667,Warm neutral
K001-486,Cobblestone,a88c70,0.659,0.052,66.699,Warm neutral
K001-1017,Bison,7a6848,0.526,0.052,81.528,Yellow-orange
K001-1239,Mushroom,93856a,0.622,0.042,83.711,Warm neutral
K001-850,Doeskin,c5baa9,0.793,0.027,78.874,Warm neutral
K001-1855,Suede,a28676,0.642,0.042,51.380,Warm neutral
K001-849,Desert Green,cfe1d4,0.893,0.026,154.594,Green
K001-1328,Seafoam,bfe2c9,0.881,0.050,154.273,Green
K001-841,Eucalyptus,dad7a9,0.870,0.061,104.514,Yellow-green
K001-1243,Navy,122f39,0.288,0.039,223.362,Blue
K001-186,Straw,ccb37f,0.776,0.074,85.060,Yellow-orange
K001-478,Limestone,c5b891,0.784,0.055,91.823,Yellow
K001-198,Parsley,bbad7a,0.747,0.070,94.608,Yellow
K001-201,Sweet Pea,a58f5a,0.658,0.076,87.768,Yellow-orange
K001-1238,Moss,685927,0.468,0.071,92.780,Yellow
K001-1256,O.D. Green,7b8f6a,0.624,0.058,131.081,Green
K001-340,Herb,8b7956,0.584,0.054,83.639,Yellow-orange
K001-1713,Smoke,9c978b,0.677,0.018,88.055,Cool neutral
K001-859,Zinc,888272,0.607,0.025,89.889,Cool neutral
K001-1387,White,f7f6f9,0.975,0.004,300.710,Gray
K001-1287,Pfd Bleach Wht,f6f6f3,0.972,0.004,106.966,Gray
K001-1339,Snow,f7f5e9,0.968,0.016,99.079,Cool neutral
K001-1037,Bone,f7f6ed,0.971,0.012,101.611,Gray
K001-863,Haze,eaebe4,0.937,0.009,113.419,Gray
K001-839,Dove,e4edea,0.938,0.010,174.714,Gray
K001-1333,Silver,e1e3e6,0.915,0.005,258.413,Gray
K001-457,Shadow,ccccca,0.845,0.003,107.079,Gray
K001-856,Quicksilver,c4ccd5,0.842,0.015,251.239,Gray
K001-1847,Lighthouse,ccd6d4,0.868,0.011,183.213,Cool neutral
K001-858,Shitake,bab8ad,0.781,0.015,98.414,Cool neutral
K001-1470,Pewter,89887c,0.624,0.018,103.076,Cool neutral
K001-1007,Ash,c5c2bb,0.814,0.010,87.515,Cool neutral
